real, coming, real and coming in
348.7/393.7 : 385.237241249: 348.7 * 1.10478130556
364.6/370.1 : 378.13132956: 364.6 * 1.03711280735



378.13132956/385.237241249: 393.087253574: 378.13132956 * 1.03955219482
384.9/371.6 : 365.315156914, 369.394987236, 361.52530967, 357.532397011
43542.14,-1,44400.01
45177.96,1,44009.71
43174.01,-1,44356.08
45821.0,1,44842.08
42600.0,-1,43672.52
43920.0,1,42942.64
42050.0,-1,42997.39
43180.9,1,42445.67
41688.88,-1,42611.84
43079.49,1,42019.81
41700.0,-1,42573.46
42760.0,1,41865.72
41550.56,-1,42389.96
42842.4,1,41885.55
41803.17,-1,42756.63
44751.4,1,43752.8
43307.0,-1,44250.69
44376.58,1,43383.72
39616.72,-1,40588.52
40799.0,1,39998.26
39450.0,-1,40159.86
40444.32,1,39661.09
38000.0,-1,38680.54
39494.35,1,38644.4
37213.63,-1,38549.98
39283.07,1,38228.01
37533.93,-1,38249.57
38513.02,1,37749.99
37500.0,-1,38066.86
38448.27,1,37437.93
36800.0,-1,37505.87
37779.54,1,36988.74
36350.0,-1,37203.46
38298.48,1,37401.55
37380.0,-1,38276.49
38429.0,1,37614.23
37528.33,-1,38363.98
39249.93,1,38372.3
34322.28,-1,34897.1
35885.0,1,34888.49
34818.09,-1,35585.17
39843.0,1,39048.37
37748.94,-1,38684.93
39030.01,1,38232.34
38014.37,-1,38885.44
39683.53,1,38776.48
38700.0,-1,39548.53
39588.82,1,38603.32
38537.91,-1,39387.03
40348.45,1,39335.15
38573.18,-1,39496.35
39700.0,1,38830.01
38189.19,-1,39015.64
39855.7,1,38859.01
38565.14,-1,39336.82
39450.94,1,38581.9
37357.0,-1,38113.82
38299.39,1,37361.67
37000.0,-1,37857.14
38483.53,1,37614.01
37451.56,-1,38277.86
44225.84,1,43026.44
42800.0,-1,43578.52
44949.0,1,43959.2
43111.46,-1,43904.97
44750.0,1,43800.95
43334.09,-1,44800.0
45400.0,1,44077.01
42915.06,-1,43987.36
44101.12,1,43093.48
40863.01,-1,41727.01
41904.88,1,41103.36
38407.59,-1,39253.64
39693.87,1,38931.64
38088.57,-1,38867.06
39368.4,1,38573.76
37578.03,-1,38501.78
39547.57,1,38734.97
37155.0,-1,38151.33
38972.08,1,38123.39
38001.0,-1,39013.03
39226.99,1,38398.72
38139.84,-1,38846.79
39362.08,1,38530.57
38388.73,-1,39243.64
42594.06,1,41424.93
38782.14,-1,39952.02
40292.44,1,38576.05
38539.73,-1,39655.32
39750.0,1,38683.44
38223.6,-1,39151.89
40236.26,1,39340.54
38308.83,-1,39228.28
39486.71,1,38716.98
37555.0,-1,38671.48
39299.98,1,38589.88
38415.4,-1,39771.95
39947.12,1,39167.01
38098.33,-1,39030.53
41718.0,1,40947.5
38828.48,-1,39853.26
41194.6,1,40363.73
39311.53,-1,40223.62
41478.82,1,40701.73
40135.04,-1,40787.56
42400.0,1,41489.0
40467.94,-1,41325.95
43361.0,1,42583.99
41995.01,-1,42917.85
43199.0,1,42075.56
41751.47,-1,42635.3
45094.14,1,44106.62
44013.11,-1,44793.66
48189.84,1,47122.69
46885.44,-1,47959.46
48096.47,1,47032.59
46445.42,-1,47505.5
47700.22,1,46249.56
44200.0,-1,45314.77
47213.0,1,46234.94
45530.92,-1,46600.0
47444.11,1,46390.0
45118.0,-1,46165.42
47200.0,1,46153.58
44412.0,-1,45407.01
45507.14,1,44267.68
42727.35,-1,43470.83
43970.62,1,42998.4
42751.01,-1,43750.69
43961.99,1,42915.72
42107.14,-1,43073.53
43410.3,1,42450.11
39200.0,-1,40110.65
40699.0,1,39854.34
39254.63,-1,40116.36
41561.31,1,40703.96
39551.94,-1,40628.9

41846.27,-1,42021.32
42039.63,1,41816.08
38782.14,-1,39952.02
40292.44,1,38576.05
38539.73,-1,39655.32
39750.0,1,38683.44
38223.6,-1,39151.89
40236.26,1,39340.54
38308.83,-1,39228.28
39486.71,1,38716.98
37555.0,-1,38671.48
39299.98,1,38589.88
38415.4,-1,39771.95
39947.12,1,39167.01
38098.33,-1,39030.53
41718.0,1,40947.5
38828.48,-1,39853.26
41194.6,1,40363.73
39311.53,-1,40223.62
41478.82,1,40701.73
40135.04,-1,40787.56
42400.0,1,41489.0
40467.94,-1,41325.95
43361.0,1,42583.99
41995.01,-1,42917.85
43199.0,1,42075.56
41751.47,-1,42635.3
45094.14,1,44106.62
44013.11,-1,44793.66
48189.84,1,47122.69
46885.44,-1,47959.46
48096.47,1,47032.59
46445.42,-1,47505.5
47700.22,1,46249.56
44200.0,-1,45314.77
47213.0,1,46234.94
45530.92,-1,46600.0
47444.11,1,46390.0
45118.0,-1,46165.42
47200.0,1,46153.58
44412.0,-1,45407.01
45507.14,1,44267.68
42727.35,-1,43470.83
43970.62,1,42998.4
42751.01,-1,43750.69
43961.99,1,42915.72
42107.14,-1,43073.53
43410.3,1,42450.11
39200.0,-1,40110.65
40699.0,1,39854.34
39254.63,-1,40116.36
41561.31,1,40703.96
39551.94,-1,40628.9
40870.36,1,39924.59

41846.27,-1,42021.32
42039.63,1,41816.08
38782.14,-1,39952.02
40292.44,1,38576.05
38539.73,-1,39655.32
39750.0,1,38683.44
38223.6,-1,39151.89
40236.26,1,39340.54
38308.83,-1,39228.28
39486.71,1,38716.98
37555.0,-1,38671.48
39299.98,1,38589.88
38415.4,-1,39771.95
39947.12,1,39167.01
38098.33,-1,39030.53
41718.0,1,40947.5
38828.48,-1,39853.26
41194.6,1,40363.73
39311.53,-1,40223.62
41478.82,1,40701.73
40135.04,-1,40787.56
42400.0,1,41489.0
40467.94,-1,41325.95
43361.0,1,42583.99
41995.01,-1,42917.85
43199.0,1,42075.56
41751.47,-1,42635.3
45094.14,1,44106.62
44013.11,-1,44793.66
48189.84,1,47122.69
46885.44,-1,47959.46
48096.47,1,47032.59
46445.42,-1,47505.5
47700.22,1,46249.56
44200.0,-1,45314.77
47213.0,1,46234.94
45530.92,-1,46600.0
47444.11,1,46390.0
45118.0,-1,46165.42
47200.0,1,46153.58
44412.0,-1,45407.01
45507.14,1,44267.68
42727.35,-1,43470.83
43970.62,1,42998.4
42751.01,-1,43750.69
43961.99,1,42915.72
42107.14,-1,43073.53
43410.3,1,42450.11
39200.0,-1,40110.65
40699.0,1,39854.34
39254.63,-1,40116.36
41561.31,1,40703.96
39551.94,-1,40628.9
40870.36,1,39924.59
38536.51,-1,39400.02
42199.0,1,41337.02
40820.0,-1,41708.82
42976.0,1,42031.97
39751.0,-1,40643.34
40795.06,1,39891.11

41034.9,1,40944.65
40875.51,-1,41046.52
43361.0,1,42583.99
41995.01,-1,42917.85
43199.0,1,42075.56
41751.47,-1,42635.3
45094.14,1,44106.62
44013.11,-1,44793.66
48189.84,1,47122.69
46885.44,-1,47959.46
48096.47,1,47032.59
46445.42,-1,47505.5
47700.22,1,46249.56
44200.0,-1,45314.77
47213.0,1,46234.94
45530.92,-1,46600.0
47444.11,1,46390.0
45118.0,-1,46165.42
47200.0,1,46153.58
44412.0,-1,45407.01
45507.14,1,44267.68
42727.35,-1,43470.83
43970.62,1,42998.4
42751.01,-1,43750.69
43961.99,1,42915.72
42107.14,-1,43073.53
43410.3,1,42450.11
39200.0,-1,40110.65
40699.0,1,39854.34
39254.63,-1,40116.36
41561.31,1,40703.96
39551.94,-1,40628.9
40870.36,1,39924.59
38536.51,-1,39400.02
42199.0,1,41337.02
40820.0,-1,41708.82
42976.0,1,42031.97
39751.0,-1,40643.34
40795.06,1,39891.11
38200.0,-1,39062.29
40797.31,1,39823.53
37702.26,-1,38475.78
39474.72,1,38618.44
38435.95,-1,39324.69
39882.38,1,38915.08
38881.43,-1,40153.24
40300.0,1,39249.6
39088.84,-1,40104.11
40372.63,1,39522.12
37386.38,-1,38206.92
38675.0,1,37849.99

48096.47,1,47032.59
46445.42,-1,47505.5
47700.22,1,46249.56
44200.0,-1,45314.77
47213.0,1,46234.94
45530.92,-1,46600.0
47444.11,1,46390.0
45118.0,-1,46165.42
47200.0,1,46153.58
44412.0,-1,45407.01
45507.14,1,44267.68
42727.35,-1,43470.83
43970.62,1,42998.4
42751.01,-1,43750.69
43961.99,1,42915.72
42107.14,-1,43073.53
43410.3,1,42450.11
39200.0,-1,40110.65
40699.0,1,39854.34
39254.63,-1,40116.36
41561.31,1,40703.96
39551.94,-1,40628.9
40870.36,1,39924.59
38536.51,-1,39400.02
42199.0,1,41337.02
40820.0,-1,41708.82
42976.0,1,42031.97
39751.0,-1,40643.34
40795.06,1,39891.11
38200.0,-1,39062.29
40797.31,1,39823.53
37702.26,-1,38475.78
39474.72,1,38618.44
38435.95,-1,39324.69
39882.38,1,38915.08
38881.43,-1,40153.24
40300.0,1,39249.6
39088.84,-1,40104.11
40372.63,1,39522.12
37386.38,-1,38206.92
38675.0,1,37849.99
37686.26,-1,38552.95
39167.34,1,38664.39
37517.8,-1,38397.5
39475.0,1,38788.57
38590.97,-1,39626.73
